public_id,internal_id,regime,status_bucket,doctor_health_estimate,doctor_recommendation,total_return_pct,apr_estimate,max_drawdown_pct,trade_count,fee_total,fee_pct_of_start,source_file
0EFCC951B3,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_aggressive_guarded_DACEC4E3D2,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
9E2D18690B,PMV3_BEAR_TREND_fee_churn_conservative_94340E8F82,BEAR_TREND,CHALLENGER,,,-28.025,-21.625445,-30.358111,,,,challenger_champions.json
EA769D6E8F,PMV3_BEAR_TREND_fee_churn_balanced_AEACAF1FC3,BEAR_TREND,CHALLENGER,,,-28.025,-21.625445,-30.358111,,,,challenger_champions.json
7469EED017,PMV3_BEAR_TREND_fee_churn_aggressive_guarded_9E476CFA89,BEAR_TREND,CHALLENGER,,,-28.025,-21.625445,-30.358111,,,,challenger_champions.json
F993DF55A3,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_conservative_BE356F23DD,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
7F7CF15EAB,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_balanced_B13AC4E830,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
99446A9FDC,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_aggressive_guarded_2B3AAE1460,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
0B8CC8F328,PMV3_BEAR_TREND_fee_churn_conservative_7B47DB4696,BEAR_TREND,CHALLENGER,,,-28.025,-21.625445,-30.358111,,,,challenger_champions.json
516089350A,PMV3_BEAR_TREND_fee_churn_balanced_1396AB3BF6,BEAR_TREND,CHALLENGER,,,-28.025,-21.625445,-30.358111,,,,challenger_champions.json
5306E9A385,PMV3_BEAR_TREND_fee_churn_aggressive_guarded_672FF5F9FC,BEAR_TREND,CHALLENGER,,,-28.025,-21.625445,-30.358111,,,,challenger_champions.json
